instance_id,n_usvs,n_tasks,rule_name,makespan,solve_time_sec,is_best_rule
u10_t20,10,20,Random,559.9277735462435,0.017528699994727504,0
u10_t40,10,40,MinBattery_NearestTask,627.4656809475473,0.06381410000176402,1
u10_t40,10,40,MaxBattery_NearestTask,627.4656809475473,0.06351610000274377,0
u10_t40,10,40,NearestOrigin_NearestTask,627.4656809475473,0.06341759999486385,0
u10_t40,10,40,FarthestOrigin_NearestTask,627.4656809475473,0.06300490000285208,0
u10_t40,10,40,Random,957.3671098819304,0.06152200000360608,0
u10_t60,10,60,MinBattery_NearestTask,671.9934380046263,0.13726239999959944,1
u10_t60,10,60,MaxBattery_NearestTask,671.9934380046263,0.13792340000509284,0
u10_t60,10,60,NearestOrigin_NearestTask,671.9934380046263,0.1376557999974466,0
u10_t60,10,60,FarthestOrigin_NearestTask,671.9934380046263,0.13868400000501424,0
u10_t60,10,60,Random,1193.9764350817031,0.1363063999961014,0
u10_t80,10,80,MinBattery_NearestTask,1137.024794303537,0.2416594000023906,1
u10_t80,10,80,MaxBattery_NearestTask,1137.024794303537,0.24469949999911478,0
u10_t80,10,80,NearestOrigin_NearestTask,1137.024794303537,0.24243379999825265,0
u10_t80,10,80,FarthestOrigin_NearestTask,1137.024794303537,0.24158289999468252,0
u10_t80,10,80,Random,1357.6824276116938,0.2391124999994645,0
u10_t100,10,100,MinBattery_NearestTask,1187.1112015225146,0.36812340000324184,1
u10_t100,10,100,MaxBattery_NearestTask,1187.1112015225146,0.3629704000049969,0
u10_t100,10,100,NearestOrigin_NearestTask,1187.1112015225146,0.5692724999971688,0
u10_t100,10,100,FarthestOrigin_NearestTask,1187.1112015225146,0.5020994000005885,0
u10_t100,10,100,Random,1816.9612465912573,0.46531909999612253,0
